location #;tree # ;species;to bottom [m];to crown [m];to top [m];height [m];notes
1;1;Myrica faya;0,35;3,00;13,00;;
1;2;Pinus canarienses;-1,50;3,00;16,00;;
1;3;Erica aborea;;0,50;9,50;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;4;Erica aborea;;0,50;7,50;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;5;Laurus novocariensis;;0,50;6,30;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;6;Myrica faya;;0,50;11,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;7;Pinus canarienses;;8,90;17,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;8;Myrica faya;;3,20;8,50;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;9;Erica aborea;;4,40;10,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
1;10;Laurus novocariensis;;0,45;6,30;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;1;Myrica faya;;4,40;13,50;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;2;Laurus novocariensis;;3,00;9,70;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;3;Myrica faya;;4,10;11,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;4;Laurus novocariensis;;3,20;13,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;5;Persea indica;;3,80;8,20;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;6;Laurus novocariensis;;5,00;14,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;7;Ilex canariensis;;3,00;9,90;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;8;Laurus novocariensis;;5,50;9,50;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;9;Laurus novocariensis;;2,70;6,20;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
2;10;Myrica faya;;2,80;6,60;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;1;Pinus canarienses;;8,30;24,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;2;Myrica faya;;0,00;3,40;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;3;Myrica faya;;0,00;3,40;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;4;Erica aborea;;1,60;4,30;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;5;Pinus canarienses;;13,00;30,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;6;Pinus canarienses;;8,60;25,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;7;Pinus canarienses;;10,00;20,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;8;Pinus canarienses;;13,00;22,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;9;Pinus canarienses;;11,00;25,00;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
3;10;Myrica faya;;0,10;3,10;;"Stammfuﬂ als Refernz gesetzt, daher f‰llt ""to bottom"" weg"
